timeframe,days,volume_ratio_th,volume_reversal_th,signals,buy_signals,sell_signals,num_trades,total_return_pct,final_value,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,volatility
1d,120,1.1,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.1,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.2,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.2,1.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.2,1.2,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.2,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,120,1.2,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,,,2,1,1,2,-27.699016508997648,3615.0491745501176,-2.21321296480607,-28.1779023742129,0.0,0.0,0.27782475351240016
1d,180,0.8,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.8,1.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.8,1.2,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.8,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.8,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.9,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.9,1.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.9,1.2,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.9,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,0.9,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.0,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.0,1.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.0,1.2,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.0,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.0,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.1,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.1,1.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.1,1.2,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.1,1.5,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.1,2.0,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
1d,180,1.2,,0,0,0,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
